"","word","polarity","n"
"427","억원",NA,126
"428","존버",1,126
"429","게임",NA,125
"430","계열사",NA,125
"431","구글",NA,125
"432","반대",-1,125
"433","세상",0,125
"434","액분전",NA,125
"435","타이밍",NA,125
"436","대장",1,124
"437","비트코",NA,124
"438","빨다",NA,124
"439","육개장",NA,124
"440","조르다",NA,124
"441","나락",-1,123
"442","떠나다",NA,123
"443","바뀌다",NA,123
"444","보유",1,123
"445","증권",NA,123
"446","가치",1,122
"447","누르다",NA,122
"448","맨날",NA,122
"449","수익률",1,122
"450","실화",NA,122
"451","어디갔",NA,122
"452","주도주",1,122
"453","괜찮다",1,121
"454","국내",NA,121
"455","기대다",NA,121
"456","시총이",NA,121
"457","슬다",NA,120
"458","주주분",NA,120
"459","곡소리",NA,119
"460","나르다",NA,119
"461","미증시",NA,119
"462","분위기",NA,119
"463","가능",NA,118
"464","이기다",1,118
"465","좋겠",NA,118
"466","찾다",NA,118
"467","남다",NA,117
"468","대선",NA,117
"469","안녕",NA,117
"470","우상향",1,117
"471","진심",-1,117
"472","갓카",NA,116
"473","후회",-2,116
"474","후회",-1,116
"475","예전",NA,115
"476","저가",NA,115
"477","전쟁",-1,115
"478","강하다",1,114
"479","미장",NA,114
"480","다르다",NA,113
"481","두나무",NA,113
"482","안보",NA,113
"483","웃다",2,113
"484","담주",NA,112
"485","부동산",NA,112
"486","찬티들",NA,112
"487","끌다",1,111
"488","사실",NA,111
"489","오후장",NA,111
"490","카겜",NA,111
"491","가즈아",1,110
"492","정신",NA,110
"493","조금씩",NA,110
"494","엄청나다",NA,109
"495","엔터",NA,108
"496","기술적",NA,107
"497","남았",NA,107
"498","액분후",NA,107
"499","있습니",NA,107
"500","풀매수",NA,107
"501","바보",-2,106
"502","비중",NA,106
"503","이후",NA,106
"504","진입",NA,106
"505","계시다",NA,105
"506","달다",NA,105
"507","소리",NA,105
"508","애플",NA,105
"509","여기다",NA,105
"510","인생",NA,105
"511","기분",NA,104
"512","다우",NA,104
"513","떨구다",-1,104
"514","수수료",-1,104
"515","양도세",NA,104
"516","장전",NA,104
"517","주당",NA,104
"518","분석",NA,103
"519","빨갛다",NA,103
"520","쉽다",NA,103
"521","얘들아",NA,103
"522","구조대",NA,102
"523","오르겠",NA,102
"524","코스닥",0,102
"525","필요",-1,102
"526","골목상권",NA,101
"527","꼬다",NA,101
"528","문재앙",NA,101
"529","이하",NA,101
"530","한주",NA,101
"531","개관들",NA,100
"532","걷다",NA,100
"533","나쁘다",-2,100
"534","나쁘다",-1,100
"535","동시호가",NA,100
"536","모르",NA,100
"537","물다",NA,100
"538","유튜브",NA,100
"539","택시",0,100
"540","팩트",NA,100
"541","공시",NA,99
"542","난리",-1,99
"543","만대",NA,99
"544","매수한",NA,99
"545","안다",NA,99
"546","전망",0,99
"547","준비",NA,99
"548","대형주",1,98
"549","불안",-2,98
"550","매물",NA,97
"551","장중",NA,97
"552","질문",NA,97
"553","공정위",-1,96
"554","보이",NA,96
"555","신규",0,96
"556","왔습니",NA,96
"557","우량주",NA,96
"558","장투",NA,96
"559","지옥",-2,96
"560","지옥",-1,96
"561","추천",1,96
"562","카페",NA,96
"563","희망",1,96
"564","망했",NA,95
"565","부르다",NA,95
"566","비교",NA,95
"567","세계",NA,95
"568","줄다",NA,95
"569","네이버로",NA,94
"570","물렸",NA,94
"571","상황",NA,94
"572","줍줍",NA,94
"573","쪼개다",NA,94
"574","찬티",NA,94
"575","청와대",NA,94
"576","폭탄",-1,94
"577","한방",NA,94
"578","껍데기",NA,93
"579","떡락",-1,93
"580","마음",NA,93
"581","메타버스",0,93
"582","버티",NA,93
"583","보내다",NA,93
"584","뽑다",NA,93
"585","아이",NA,93
"586","주말",NA,93
"587","돌리다",NA,92
"588","모빌리티",NA,92
"589","연속",NA,92
"590","조원",NA,92
"591","투자하",NA,92
"592","하락장",-1,92
"593","골드",NA,91
"594","목표주가",NA,91
"595","뭔가",NA,91
"596","미치",NA,91
"597","사기꾼",NA,91
"598","잡주",NA,91
"599","회장",NA,91
"600","개거품",NA,90
"601","긴급",NA,90
"602","리딩방",NA,90
"603","매수해",NA,90
"604","사랑",2,90
"605","셀트리온",NA,90
"606","안티들이",NA,90
"607","약속",NA,90
"608","시키다",NA,89
"609","이정도면",NA,89
"610","전문가",1,89
"611","존나",NA,89
"612","하는거",NA,89
"613","화학",NA,89
"614","갑시",NA,88
"615","걸리다",-1,88
"616","대장주",1,88
"617","오랜만",NA,88
"618","주주님",NA,88
"619","코로나",0,88
"620","파란불",NA,88
"621","확인",NA,88
"622","시가총액",0,87
"623","월봉",NA,87
"624","주주입니",NA,87
"625","토론방",NA,87
"626","피하다",NA,87
"627","호가창",NA,87
"628","흔들다",1,87
"629","감사합니",NA,86
"630","개잡",NA,86
"631","년차",NA,86
"632","시원하게",2,86
"633","대기업",0,85
"634","도망",NA,85
"635","방어",NA,85
"636","스톡옵션",0,85
"637","궁금",NA,84
"638","매도벽",NA,84
"639","봅니",NA,84
"640","순매수",1,84
"641","계단식",NA,83
"642","그만하다",NA,83
"643","기부",1,83
"644","나라",NA,83
"645","더럽다",-2,83
"646","몰리다",NA,83
"647","이슈",NA,83
"648","인간",NA,83
"649","추석",NA,83
"650","갖다",NA,82
"651","개카오",NA,82
"652","경영진",NA,82
"653","넣다",NA,82
"654","버블",NA,82
"655","청약",NA,82
"656","카카오엔터",NA,82
"657","카카오주주",NA,82
"658","회장님",NA,82
"659","말했",NA,81
"660","미국장",NA,81
"661","안티들아",NA,81
"662","이베이",NA,81
"663","일봉",NA,81
"664","중요한",1,81
"665","친구",1,81
"666","흔들리다",NA,81
"667","글로벌",0,80
"668","러시아",NA,80
"669","막다",NA,80
"670","범수형",NA,80
"671","월달",NA,80
"672","의장",NA,80
"673","주봉",NA,80
"674","천주",NA,80
"675","포기",-1,80
"676","고맙다",2,79
"677","단독",NA,79
"678","들어왔",NA,79
"679","때다",NA,79
"680","바라다",NA,79
"681","아무",NA,79
"682","엔씨",NA,79
"683","자리",NA,79
"684","좌파",NA,79
"685","동참",NA,78
"686","분할",NA,78
"687","세력들",NA,78
"688","앵두형",NA,78
"689","왜케",NA,78
"690","욕심",-1,78
"691","울다",-2,78
"692","울다",-1,78
"693","유상증자",NA,78
"694","음봉",NA,78
"695","이야기",NA,78
"696","이해",NA,78
"697","장대음봉",NA,78
"698","키우다",1,78
"699","터치",NA,78
"700","경제",NA,77
"701","관련주",NA,77
"702","네이버도",NA,77
"703","분명",NA,77
"704","분할매수",NA,77
"705","빨간불",-1,77
"706","읽다",NA,77
"707","적다",NA,77
"708","차다",NA,77
"709","금리",0,76
"710","급락",-1,76
"711","떠들다",-1,76
"712","매집",NA,76
"713","부탁드립니",NA,76
"714","상장하면",NA,76
"715","어이",NA,76
"716","역사적",NA,76
"717","오지",NA,76
"718","증가",1,76
"719","클레이",NA,76
"720","패다",NA,76
"721","감사",2,75
"722","내리",NA,75
"723","됩니",NA,75
"724","머리",NA,75
"725","성장주",NA,75
"726","업비트",NA,75
"727","잘했",NA,75
"728","으로",NA,74
"729","자자",NA,74
"730","전세계",NA,74
"731","출발",NA,74
"732","트럼프",NA,74
"733","한국의",NA,74
"734","현금",NA,74
"735","홍남기",NA,74
"736","경고",-1,73
"737","끼다",NA,73
"738","돕다",2,73
"739","바꾸다",NA,73
"740","움직이다",NA,73
"741","주포",NA,73
"742","초반",NA,73
"743","카카오택시",NA,73
"744","페이스북",NA,73
"745","하이닉스",NA,73
"746","걸다",NA,72
"747","네이버를",NA,72
"748","단타치",NA,72
"749","답답",-1,72
"750","두다",NA,72
"751","만나다",NA,72
"752","미안",NA,72
"753","사세",NA,72
"754","서민",NA,72
"755","어짜피",NA,72
"756","잘못",-2,72
"757","잘못",-1,72
"758","정보",NA,72
"759","칼날",NA,72
"760","클레이튼",NA,72
"761","한강",NA,72
"762","가능성",NA,71
"763","들어오",NA,71
"764","속다",NA,71
"765","손실",-1,71
"766","전재산",NA,71
"767","천만원",NA,71
"768","최악",-2,71
"769","국가",NA,70
"770","기다",NA,70
"771","민주",NA,70
"772","장기",NA,70
"773","장기투자",NA,70
"774","정치",NA,70
"775","지주사",NA,70
"776","지주회사",NA,70
"777","폭포수",NA,70
"778","혁신",1,70
"779","혁신",2,70
"780","횡보",NA,70
"781","기술주",NA,69
"782","독점",-1,69
"783","독점",1,69
"784","뒤지다",NA,69
"785","소상공인",NA,69
"786","오세",NA,69
"787","관망",-1,68
"788","니들이",NA,68
"789","다행",NA,68
"790","라이언",NA,68
"791","무슨일",NA,68
"792","문어발식",-1,68
"793","박다",NA,68
"794","생기다",NA,68
"795","성장성",NA,68
"796","아닙니",NA,68
"797","아들",NA,68
"798","일부",NA,68
"799","처럼",NA,68
"800","국장",NA,67
"801","나왔",NA,67
"802","너무하다",-2,67
"803","듣다",NA,67
"804","목요일",NA,67
"805","못가",NA,67
"806","방법",NA,67
"807","역대급",0,67
"808","이놈",NA,67
"809","익절하고",NA,67
"810","챠트",NA,67
"811","최고점",NA,67
"812","추가매수",NA,67
"813","그때",NA,66
"814","꺼지다",NA,66
"815","바겐세일",NA,66
"816","시점",NA,66
"817","애들아",NA,66
"818","영향",NA,66
"819","왜이렇게",NA,66
"820","외치다",NA,66
"821","해외",NA,66
"822","확장",1,66
"823","확진자",NA,66
"824","겁나다",-1,65
"825","고수",NA,65
"826","급하다",-1,65
"827","꼭지",NA,65
"828","반대매매",NA,65
"829","수익실현",NA,65
"830","승리",2,65
"831","승자",1,65
"832","알았",NA,65
"833","익절",NA,65
"834","인간들",NA,65
"835","조사",-1,65
"836","니가",NA,64
"837","다가오다",NA,64
"838","대비",NA,64
"839","대응",NA,64
"840","대폭락",NA,64
"841","돔황",NA,64
"842","때리다",NA,64
"843","만원간",NA,64
"844","못살다",NA,64
"845","비다",NA,64
"846","사는거",NA,64
"847","상장하",NA,64
"848","싸우다",-2,64
"849","싸우다",-1,64
"850","여자",NA,64
"851","와우",NA,64
"852","추미애",NA,64
"853","치우다",NA,64
"854","금융위",-1,63
"855","모르겠",NA,63
"856","서비스",0,63
"857","아따",NA,63
"858","어렵다",-2,63
"859","역대",NA,63
"860","이럴때",NA,63
"861","중요",NA,63
"862","김범수가",NA,62
"863","꼬라지",NA,62
"864","댓글",NA,62
"865","바보들",NA,62
"866","부럽다",-1,62
"867","사라지다",NA,62
"868","생각다",NA,62
"869","유증",0,62
"870","장난질",NA,62
"871","재미",2,62
"872","개폭락",NA,61
"873","거지",NA,61
"874","공모",0,61
"875","궁금한",NA,61
"876","네이버와",NA,61
"877","니네",NA,61
"878","불기둥",NA,61
"879","삼성증권",NA,61
"880","소각",-1,61
"881","소각",1,61
"882","저번주",NA,61
"883","합병",0,61
"884","나중",NA,60
"885","마르다",NA,60
"886","몰빵",NA,60
"887","비대",1,60
"888","빨갱이",NA,60
"889","십만원",NA,60
"890","안했",NA,60
"891","웃기다",NA,60
"892","이번달",NA,60
"893","저평가",-1,60
"894","정신차리다",NA,60
"895","필독",NA,60
"896","개미털기",NA,59
"897","국감",-1,59
"898","국민청",NA,59
"899","덕분",NA,59
"900","액면가",NA,59
"901","옛날",-1,59
"902","의미",NA,59
"903","전국민",NA,59
"904","직원",NA,59
"905","째다",NA,59
"906","투표",NA,59
"907","했습니",NA,59
"908","고생",-1,58
"909","네이버보다",NA,58
"910","대량",NA,58
"911","똑같다",NA,58
"912","멈추다",NA,58
"913","메다",NA,58
"914","문재인",NA,58
"915","미선물",NA,58
"916","생각해",NA,58
"917","선반영",NA,58
"918","예측",NA,58
"919","이주식",NA,58
"920","일주일",NA,58
"921","자기",NA,58
"922","쿠팡",NA,58
"923","계좌",NA,57
"924","금액",NA,57
"925","수준",NA,57
"926","알바들",NA,57
"927","에휴",NA,57
"928","위험",NA,57
"929","전량",NA,57
"930","전형적",NA,57
"931","짖다",NA,57
"932","차익실현",NA,57
"933","끝났다",NA,56
"934","대깨문",NA,56
"935","마무리",NA,56
"936","바코드",NA,56
"937","쌍끌이",NA,56
"938","액면",NA,56
"939","제자리",NA,56
"940","지랄",NA,56
"941","추락",-1,56
"942","카카오모빌리티",NA,56
"943","흑우들",NA,56
