"","word","polarity"
"1033","행동이 번듯하고",2
"1034","행동이 발라서",2
"1035","행동이 반듯하고",2
"1036","행동이 못된",-2
"1037","행동이 느리고",-1
"1038","행동이 껄렁껄렁한",-1
"1039","행동이 까불까불하고",-1
"1040","행동이 겸손하고",1
"1041","행동이 건방져",-2
"1042","행동이 가량맞고",-1
"1043","행동의 아름다움",2
"1044","행동을 터무니없거나",-1
"1045","행동을 시원스럽게",2
"1046","행동을 비웃는",-1
"1047","행동을 비웃거나",-1
"1048","행동을 밉살스럽게",-2
"1049","행동을 꾸며",-1
"1050","행동으로 위협하다",-2
"1051","햇빛이 밝다",1
"1052","햇볕이 잘",1
"1053","햇볕이 따뜻하고",1
"1054","해학적인 내용으로",1
"1055","해학적인",1
"1056","해학 소설",1
"1057","해학",1
"1058","해침",-2
"1059","해칠",-2
"1060","해치려다가",-2
"1061","해치려고",-2
"1062","해치다",-2
"1063","해치거나 죽이는",-2
"1064","해치거나",-2
