Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,115000,119500,115000,119500,119444.2031,5146917
2021-10-08,121500,121500,117500,117500,117445.1328,3930836
2021-10-12,117000,118500,113000,113500,113447,3810466
2021-10-13,114000,118500,114000,117000,116945.3672,2731883
2021-10-14,118500,122000,118500,121500,121443.2656,3891958
2021-10-15,123000,123500,120000,122000,121943.0313,2331425
2021-10-18,123000,123000,120500,121500,121443.2656,1831322
2021-10-19,123000,127500,121500,127500,127440.4609,4075027
2021-10-20,129500,130500,127000,128000,127940.2344,4959740
2021-10-21,128500,130000,127500,128000,127940.2344,2297507
2021-10-22,128000,129500,125500,127500,127440.4609,1985417
2021-10-25,126500,127500,123500,126000,125941.1641,2309608
2021-10-26,126000,128000,126000,127500,127440.4609,1265299
2021-10-27,128000,129000,126500,128500,128440,1449071
2021-10-28,129000,130000,125000,125500,125441.3984,1783396
2021-10-29,125500,126500,123000,125500,125441.3984,1891355
2021-11-01,126000,127000,125000,125500,125441.3984,1081519
2021-11-02,126000,128500,126000,128000,127940.2344,1642378
2021-11-03,128000,128500,123500,124500,124441.8672,2937805
2021-11-04,126000,130500,125500,130000,129939.2969,6001098
2021-11-05,131000,131000,126500,128500,128440,2810726
2021-11-08,128500,128500,123000,125000,124941.6328,4026899
2021-11-09,124500,127000,124500,125500,125441.3984,1990889
2021-11-10,125500,127500,123500,124000,123942.1016,1598893
2021-11-11,123000,125500,121500,125500,125441.3984,1955371
2021-11-12,126000,128000,124500,127000,126940.6953,2100660
2021-11-15,127000,129500,127000,129000,128939.7656,1714170
2021-11-16,129000,130000,127000,127500,127440.4609,1591390
2021-11-17,128000,129000,125000,125000,124941.6328,1675657
2021-11-18,125000,126000,123000,124500,124441.8672,1543924
2021-11-19,125000,127500,124500,127000,126940.6953,1512294
2021-11-22,127000,129000,125500,128500,128440,2213290
2021-11-23,127500,128000,124000,124500,124441.8672,1981200
2021-11-24,124500,125500,123500,124500,124441.8672,1589036
2021-11-25,125000,128500,124500,128000,127940.2344,2906344
2021-11-26,127500,128500,125000,125500,125441.3984,1679040
2021-11-29,123000,125500,122000,123000,122942.5625,2031484
2021-11-30,124000,124500,121500,122000,121943.0313,3807209
2021-12-01,121500,123500,121000,122500,122442.7969,1482581
2021-12-02,121500,123000,120000,122500,122442.7969,2028101
2021-12-03,122000,124000,121500,123500,123442.3359,1488902
2021-12-06,122500,122500,120500,121000,120943.5,1477396
2021-12-07,121500,122000,120000,120500,120443.7344,1218740
