Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,69200.000000,71700.000000,68300.000000,71200.000000,71138.132813,5431955
2020-08-11,70300.000000,71400.000000,69500.000000,70500.000000,70438.742188,3751425
2020-08-12,69700.000000,71300.000000,69500.000000,70800.000000,70738.476563,3647170
2020-08-13,71800.000000,73000.000000,71300.000000,72100.000000,72037.351563,5589295
2020-08-14,72200.000000,73200.000000,71600.000000,72500.000000,72437.007813,4129010
2020-08-18,74300.000000,77900.000000,73500.000000,75600.000000,75534.304688,15160185
2020-08-19,76900.000000,77000.000000,74400.000000,75300.000000,75234.570313,6796330
2020-08-20,75200.000000,76600.000000,71900.000000,72900.000000,72836.656250,8433700
2020-08-21,74000.000000,74700.000000,72400.000000,74000.000000,73935.703125,5107300
2020-08-24,74900.000000,76500.000000,73500.000000,76000.000000,75933.968750,4848240
2020-08-25,76900.000000,77000.000000,75400.000000,76200.000000,76133.789063,4438665
2020-08-26,76100.000000,78800.000000,75600.000000,78400.000000,78331.875000,6755145
2020-08-27,79300.000000,82600.000000,79200.000000,82100.000000,82028.664063,9909200
2020-08-28,82700.000000,83200.000000,80000.000000,81100.000000,81029.531250,7534980
2020-08-31,82100.000000,84100.000000,80200.000000,81400.000000,81329.273438,8148755
2020-09-01,82700.000000,83200.000000,80000.000000,80300.000000,80230.226563,5503680
2020-09-02,81100.000000,82500.000000,80300.000000,82400.000000,82328.398438,4608275
2020-09-03,83100.000000,83200.000000,80800.000000,82000.000000,81928.750000,3696075
2020-09-04,78000.000000,80900.000000,77900.000000,80400.000000,80330.140625,5842645
2020-09-07,80300.000000,80300.000000,78200.000000,78400.000000,78331.875000,4644695
2020-09-08,78700.000000,79700.000000,76100.000000,78000.000000,77932.226563,5102695
2020-09-09,76300.000000,77600.000000,75800.000000,76800.000000,76733.273438,4677865
2020-09-10,78400.000000,79300.000000,76800.000000,77100.000000,77033.007813,4683540
2020-09-11,76400.000000,76800.000000,75100.000000,75800.000000,75734.140625,3964200
2020-09-14,75400.000000,75600.000000,73800.000000,74700.000000,74635.093750,4151155
2020-09-15,74200.000000,77000.000000,73800.000000,76200.000000,76133.789063,4300190
2020-09-16,76800.000000,76900.000000,75400.000000,75400.000000,75334.484375,2428715
2020-09-17,74700.000000,74800.000000,73800.000000,74200.000000,74135.523438,3088510
2020-09-18,73800.000000,75400.000000,73200.000000,74600.000000,74535.179688,2476355
2020-09-21,74300.000000,74800.000000,72800.000000,72900.000000,72836.656250,2651275
